fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person (Rs),Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages (in lakhs),Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure (in lakhs),Total_Exp (in Lakhs),Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages (in lakhs),Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Sep,34,JHARKHAND,3403,GUMLA,2013699,269.5376447,36,136,1865.801461,2761,1,37245,1662345,51539,6821,986028,124777,108.29849,6454.745511,45735,52084,113119,196757,303,219693,368726,40006,4480.64556,673956,94,91.69,6.69,98.7,NA
2024-2025,Sep,34,JHARKHAND,3405,PALAMU,3071018,272.5811679,27,290,1396.533213,8744,4,59643,1823659,399066,73339,144208,23951,215.65064,6583.134853,67034,78765,198572,276791,90,408588,554009,68387,4970.951,837672,94,86.68,7.9,99.33,NA
2024-2025,Sep,34,JHARKHAND,3407,GARHWA,4883670,270.3822552,34,216,2565.832009,8062,0,55967,4655897,509204,52238,462752,37625,211.53741,15366.08873,133727,162473,241692,350990,424,399195,564702,64029,12588.71931,2158282,93,90.61,2.92,99.32,NA
2024-2025,Sep,34,JHARKHAND,3408,WEST SINGHBHUM,2094479,271.9402945,30,128,1111.605082,6937,3,38984,1762634,40930,5540,1227257,159425,133.58576,6038.502932,57823,62985,151422,224891,192,356132,519686,45921,4793.31209,858517,89,81.34,9.92,99.37,NA
2024-2025,Sep,34,JHARKHAND,3410,EAST SINGHBUM,1686514,271.4123388,26,121,683.5672809,7252,45,33783,1032258,39798,9401,442595,104562,97.49513,3582.737991,39680,46789,114403,220638,80,276499,492721,41035,2801.67558,562093,95,80.66,4.33,99.4,NA
2024-2025,Sep,34,JHARKHAND,3419,GIRIDIH,5528113,271.8799751,29,536,2451.995852,10930,17,68796,3489202,196565,31981,297049,34931,273.96514,12212.40252,117954,125249,281562,369642,111,649943,861278,79726,9486.44153,1842886,94,93.58,2.95,99.59,NA
2024-2025,Sep,34,JHARKHAND,3423,RAMGARH,1182784,272.06208,37,158,798.2765544,2266,30,15619,936292,47237,8075,225132,27770,57.99624,3403.568284,25117,29969,61803,102149,299,140563,222074,17885,2547.29549,426838,95,95.11,0.45,99.51,NA
2024-2025,Sep,34,JHARKHAND,3424,KHUNTI,952060,271.0260992,30,101,474.3853064,1013,0,22154,634770,23956,4533,443382,68047,44.13818,2238.915856,20656,24111,60031,96962,100,149154,239151,23167,1720.39237,271157,97,91.44,0.95,98.93,NA
2024-2025,Sep,34,JHARKHAND,3412,JAMTARA,2307871,269.5275722,29,94,1159.244691,6224,0,31138,2056869,157729,14551,420550,42229,92.51663,6795.590401,69022,75328,131209,177864,124,231818,302286,37362,5543.82908,928333,94,96.11,1.22,99.41,NA
2024-2025,Sep,34,JHARKHAND,3415,GODDA,2034362,272.8943012,33,129,1207.248915,4417,7,36295,1677895,62782,9854,327784,39550,106.19961,5892.32836,50789,55490,131356,194104,62,302948,440502,40712,4578.879835,787124,92,89.14,5.73,99.51,NA
2024-2025,Sep,34,JHARKHAND,3417,CHATRA,2893683,272.7193658,29,61,1580.359833,6065,1,35083,2595304,639614,51968,126607,9338,103.84992,8762.106363,87060,96759,159752,194974,129,270846,323064,41148,7077.89661,1313694,97,96.68,1.03,99.41,NA
2024-2025,Sep,34,JHARKHAND,3401,RANCHI,2013657,274.2667111,34,147,1423.671127,4164,9,37944,1957133,90972,12797,749665,104958,245.31468,7036.750117,56869,66449,150940,246976,387,348580,526835,42108,5367.76431,935473,93,93.63,1.29,99.15,NA
2024-2025,Sep,34,JHARKHAND,3403,GUMLA,2013699,269.5376447,36,136,1865.801461,2761,1,37245,1662345,51539,6821,986028,124777,108.29849,6454.745511,45735,52084,113119,196758,303,219743,368809,40006,4480.64556,673956,94,91.69,6.69,98.7,NA
2024-2025,Sep,34,JHARKHAND,3414,PAKUR,1578888,272.2191256,34,33,932.8632596,5338,0,26072,1284729,26771,3377,354347,43984,117.52783,4547.66914,37074,39437,94347,122613,76,223926,286431,31410,3497.27805,630794,97,89.96,2.51,99.7,NA
2024-2025,Sep,34,JHARKHAND,3416,HAZARIBAGH,2862145,276.1085701,32,278,1429.479246,5281,17,32306,2333461,265448,34684,142089,15984,141.34004,8013.705086,72400,79683,160969,220083,244,367336,506159,37587,6442.8858,1182612,95,95.26,1.66,99.64,NA
2024-2025,Sep,34,JHARKHAND,3417,CHATRA,2893683,272.8967441,29,61,1580.359833,6070,1,35107,2597400,640134,51969,126796,9338,103.84992,8772.429783,87077,96778,159755,194981,129,271935,324226,41177,7088.22003,1314806,97,96.65,1.03,99.44,NA
2024-2025,Sep,34,JHARKHAND,3424,KHUNTI,952060,271.0260992,30,101,474.3853064,1013,0,22154,634770,23956,4533,443382,68047,44.13818,2238.915856,20656,24111,60031,96962,100,149157,239154,23167,1720.39237,271157,97,91.44,0.95,98.93,NA
2024-2025,Aug,34,JHARKHAND,3410,EAST SINGHBUM,1481804,269.765187,24,119,683.5672809,7141,47,33613,960641,36291,9390,415462,104426,91.51513,3366.557401,38924,45728,114177,220233,64,275843,491894,40754,2591.47499,521784,95,82.4,4.17,98.84,NA
2024-2025,Aug,34,JHARKHAND,3419,GIRIDIH,4857104,271.8068399,29,523,2451.995852,10795,17,68504,3390819,188198,31939,285762,34919,262.41514,11930.88896,116118,123300,281319,369375,102,647268,858522,79299,9216.47797,1788346,94,93.64,3.05,99.53,NA
2024-2025,Aug,34,JHARKHAND,3423,RAMGARH,1039217,272.0645398,37,158,798.2765544,2266,30,15618,934322,46878,8074,224438,27768,57.99624,3398.231644,25115,29960,61803,102138,299,140275,221720,17884,2541.95885,425775,95,95.22,0.45,99.51,NA
2024-2025,Aug,34,JHARKHAND,3401,RANCHI,1769238,274.1691822,34,147,1423.671127,4163,9,37910,1951996,90457,12785,748132,104917,232.01341,7007.456007,56784,66350,150878,246867,383,346843,524776,42073,5351.77147,932554,93,93.74,1.3,99.15,NA
2024-2025,Aug,34,JHARKHAND,3413,SAHEBGANJ,1633163,275.8615116,29,145,1172.002242,3867,6,28783,1247216,36384,6706,269259,46541,99.37809,4711.969242,42247,45349,126662,159422,41,347054,427497,32650,3440.58891,620578,91,86.79,5.05,99.64,NA
2024-2025,Aug,34,JHARKHAND,3420,BOKARO,1814701,274.6122895,33,197,1059.9265,10292,15,32453,1472251,142582,26372,223047,35132,118.63812,5221.546799,44479,50024,136447,205940,234,380274,548674,42745,4042.982179,715665,97,94.07,1.54,99.75,NA
2024-2025,Aug,34,JHARKHAND,3423,RAMGARH,1039217,272.0645336,37,158,798.2765544,2266,30,15618,934412,46878,8074,224462,27768,57.99624,3398.476444,25115,29960,61803,102138,299,140276,221721,17884,2542.20365,425829,95,95.22,0.45,99.51,NA
2024-2025,Aug,34,JHARKHAND,3424,KHUNTI,836498,269.4520234,30,92,474.3853064,1010,0,22038,619813,23176,4528,436343,67947,44.13818,2188.622156,20407,23778,59928,96791,91,149084,239072,23048,1670.09867,261167,97,92.14,0.92,98.82,NA
