fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person (Rs),Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages (in lakhs),Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure (in lakhs),Total_Exp (in Lakhs),Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages (in lakhs),Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Oct,34,JHARKHAND,3410,EAST SINGHBUM,1893656,271.1090598,26,121,757.9096327,7330,45,34041,1066910,40917,9411,454574,104678,137.48706,3787.886363,40153,47389,114540,220918,92,278020,494610,41371,2892.48967,578465,95,80.64,4.57,99.34,NA
2024-2025,Oct,34,JHARKHAND,3416,HAZARIBAGH,3213681,275.8513398,32,282,1498.147473,5306,17,33676,2367782,270526,34751,144142,16007,145.1042,8174.810043,73062,80470,161191,220421,246,369857,508982,38982,6531.55837,1202364,96,95.02,1.63,99.64,NA
2024-2025,Oct,34,JHARKHAND,3419,GIRIDIH,6207091,270.0843701,31,557,2596.18663,11017,17,69990,3807950,216915,32139,327752,35061,302.63915,13183.50355,122609,130291,282683,370897,139,656215,867718,81007,10284.67777,2012386,94,93.57,2.84,99.62,NA
2024-2025,Oct,34,JHARKHAND,3420,BOKARO,2319081,274.4739564,33,198,1092.689679,10309,13,32629,1519553,149014,26441,230135,35194,157.49649,5420.963408,45122,50797,136716,206338,257,383773,552643,42938,4170.777239,740743,97,93.84,1.46,99.76,NA
2024-2025,Oct,34,JHARKHAND,3424,KHUNTI,1068994,270.6012122,30,104,516.7486751,1019,0,22198,641489,24114,4536,446489,68103,44.13818,2296.763865,20802,24311,60093,97072,103,149510,239579,23217,1735.87701,274344,97,91.34,0.98,98.89,NA
2024-2025,Oct,34,JHARKHAND,3402,LOHARDAGA,814913,272.6544706,33,88,612.8342439,2920,0,16153,658653,34603,4980,389901,70356,71.10802,2479.789114,19485,24974,53284,113432,198,99470,197383,19073,1795.84685,335201,96,84,0.15,99.75,NA
2024-2025,Oct,34,JHARKHAND,3406,LATEHAR,3550808,270.8068294,35,569,925.776956,9456,0,41518,2756247,360672,22846,844437,51890,139.26118,8529.143246,76659,83810,125078,156456,294,198784,244926,50974,7464.10511,1313834,98,59.31,37.23,99.6,NA
2024-2025,Oct,34,JHARKHAND,3415,GODDA,2284228,271.9430677,34,132,1497.257447,4598,7,37821,1774978,67853,9894,349674,39657,181.8627,6506.049772,51938,56826,131699,194592,108,309666,447642,42419,4826.929625,832700,92,89.82,5.22,99.66,NA
2024-2025,Oct,34,JHARKHAND,3417,CHATRA,3249094,271.4739869,29,62,1588.980705,6295,1,41966,2691205,661087,52092,131366,9381,130.89168,9025.793895,89829,99913,160145,195516,139,276324,329195,48261,7305.92151,1362571,97,96.32,1.28,99.47,NA
2024-2025,Oct,34,JHARKHAND,3419,GIRIDIH,6207091,269.8473036,31,566,2614.51629,11397,17,71564,3984356,228081,32177,340881,35109,363.00243,13729.19595,125241,133117,283278,371547,176,657414,868986,82961,10751.67723,2105925,95,93.48,2.87,99.67,NA
2024-2025,Oct,34,JHARKHAND,3420,BOKARO,2319081,273.1126208,34,200,1115.169839,10349,13,33019,1571130,154184,26465,238270,35251,228.43766,5634.561818,46075,51940,136926,206639,281,384183,553134,43368,4290.954319,767274,97,93.64,1.53,99.78,NA
2024-2025,Oct,34,JHARKHAND,3422,DEOGHAR,4202748,270.2689379,38,323,2657.07538,6837,0,35660,3524550,213671,24718,341664,28791,236.19921,12419.03844,90511,99283,192144,275977,413,408821,594184,42497,9525.76385,1542013,93,91.2,3.55,99.87,NA
2024-2025,Oct,34,JHARKHAND,3423,RAMGARH,1328056,269.4703361,37,158,829.0031714,2311,30,15635,959686,48683,8085,232451,27790,93.83963,3508.911891,25458,30375,61840,102234,316,141957,223760,17946,2586.06909,438072,95,95.06,0.46,99.54,NA
2025-2026,Sep,34,JHARKHAND,3407,GARHWA,7434501,280.1317573,33,253,68.2094786,18027,0,62873,5239681,562418,50928,546787,38006,237.52582,14983.74576,158009,191836,252624,359396,718,438648,609256,80900,14678.01046,2483787,95,79.96,83.22,100.02,NA
2025-2026,Sep,34,JHARKHAND,3408,WEST SINGHBHUM,2514955,278.3610035,34,145,29.7198,8594,3,59822,2399115,53861,5502,1632487,153584,189.27671,6897.197099,70258,76220,150786,218989,584,379697,544072,68416,6678.200589,1152541,95,66.49,73.33,100.01,NA
2025-2026,Sep,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1960328,280.0829449,31,185,48.22673,2642,1,52756,1716664,76196,10571,545507,85607,121.89953,4978.209344,54328,66807,111612,211079,309,241014,425392,55398,4808.083084,893314,96,51.06,56.58,100,NA
2025-2026,Sep,34,JHARKHAND,3412,JAMTARA,3716827,279.5976615,34,138,5.92672,9186,0,54379,3337087,258235,15074,579068,42878,97.32884,9433.672774,95983,105877,140659,186386,514,254163,325015,63565,9330.417214,1754148,97,79.58,77.3,100.01,NA
2025-2026,Sep,34,JHARKHAND,3413,SAHEBGANJ,1961556,286.4188645,30,390,34.1508552,4722,4,42147,1801755,62260,6661,472251,45750,137.04742,5331.764487,59768,64674,123540,154404,243,370442,451470,46869,5160.566212,934907,94,59.97,58.44,100,NA
2025-2026,Sep,34,JHARKHAND,3416,HAZARIBAGH,3759368,285.0648123,35,297,52.3182452,10995,13,53736,3285143,419831,35134,188417,15434,208.16686,9625.271832,93527,103310,167745,226611,1090,393541,536243,64731,9364.786727,1802289,97,70.18,83.31,100,NA
2025-2026,Sep,34,JHARKHAND,3418,KODERMA,1361090,284.9571816,36,103,182.7849092,2256,0,21351,1319920,112751,9402,18957,1115,47.159,3991.150741,36527,39958,66165,83810,416,162962,205049,23607,3761.206832,713437,94,82.44,70.17,100,NA
2025-2026,Sep,34,JHARKHAND,3423,RAMGARH,1549260,278.0673177,43,185,50.7982609,4622,22,23921,1526200,103927,8208,415806,28271,81.42504,4376.086703,35130,43054,64054,105284,872,151627,236906,28543,4243.863403,807144,97,63.04,67.24,100,NA
2025-2026,Aug,34,JHARKHAND,3405,PALAMU,3653239,280.547788,30,530,40.7426514,9954,0,86163,3482748,762568,75483,258393,25743,309.69223,10121.20736,112830,134714,209526,290751,368,456568,613841,96117,9770.772477,1659839,96,68.33,78.49,100.05,NA
2025-2026,Aug,34,JHARKHAND,3408,WEST SINGHBHUM,2175652,277.9333265,33,144,16.9236,8043,3,59456,2334968,52207,5491,1590182,153263,189.27671,6695.854546,69556,75434,150418,218505,479,379508,543860,67499,6489.654236,1122119,95,66.68,73.53,100.01,NA
2025-2026,Aug,34,JHARKHAND,3414,PAKUR,1822837,281.4525564,33,48,18.7896592,5413,0,37952,1692011,37372,3228,537129,43489,120.56018,4901.558053,50349,53376,96464,122541,297,248486,311803,43365,4762.208214,871465,98,70.82,66.4,100,NA
2025-2026,Aug,34,JHARKHAND,3412,JAMTARA,3215374,278.9991295,33,136,5.92672,8892,0,54370,3205991,248066,15040,555201,42788,97.32884,9047.942543,95133,104835,140379,186051,458,254000,324841,63262,8944.686983,1685458,97,79.79,77.51,100.01,NA
2025-2026,Aug,34,JHARKHAND,3415,GODDA,2427075,279.6539493,32,158,17.816242,4641,5,55040,2187390,97416,9731,450018,39858,164.50807,6299.446833,66486,72501,129882,189335,109,328294,468602,59681,6117.122521,1184487,95,68.26,64.65,100.05,NA
2025-2026,Aug,34,JHARKHAND,3416,HAZARIBAGH,3252176,285.2683932,34,281,34.4179152,10627,13,51776,3206740,408316,34973,184029,15373,208.16686,9390.400448,92668,102316,167128,225750,900,393090,535696,62403,9147.815673,1756240,97,70.53,83.44,100,NA
2025-2026,Aug,34,JHARKHAND,3418,KODERMA,1177460,285.443593,35,103,72.3006548,2213,0,21248,1303195,111069,9389,18901,1112,47.159,3839.346286,36360,39771,66083,83704,368,162859,204933,23461,3719.886632,703367,94,82.62,70.27,100,NA
2025-2026,Aug,34,JHARKHAND,3420,BOKARO,2265644,285.6984434,33,216,302.5430396,4432,14,52415,2094014,249131,27773,314141,34968,202.13753,6487.245971,62030,69247,138262,206329,454,399034,570275,56847,5982.565402,1177936,98,68.59,67.26,100,NA
2025-2026,Aug,34,JHARKHAND,3423,RAMGARH,1340243,276.3854164,42,180,39.7082964,4495,22,23629,1471360,100081,8143,400530,28092,81.42504,4187.757799,34482,42243,63512,104521,773,151306,236532,28124,4066.624463,776711,97,63.55,67.58,100,NA
2025-2026,Sep,34,JHARKHAND,3403,GUMLA,2439304,267.1651568,36,190,36.4832458,3863,1,49809,1989386,75349,6762,1125677,120288,130.89446,5482.323932,55184,65293,111855,190553,763,230874,382024,53672,5314.946227,883135,96,79.62,82.38,100,NA
2025-2026,Sep,34,JHARKHAND,3405,PALAMU,4222979,280.4116361,31,547,40.7426514,10247,0,86914,3577394,783292,75664,265814,25827,309.69223,10381.86393,114279,136550,210151,291673,453,456983,614456,97161,10031.42904,1710252,96,67.79,77.76,100.05,NA
2025-2026,Sep,34,JHARKHAND,3410,EAST SINGHBUM,1911294,282.6175882,32,149,49.3829605,6683,35,50516,1666873,72759,9191,688262,99827,158.87699,4919.136222,50948,59268,110752,211688,352,289515,509641,57199,4710.876271,969373,96,55.39,64.48,100.01,NA
2025-2026,Sep,34,JHARKHAND,3416,HAZARIBAGH,3759368,284.8990019,35,298,52.3182452,11128,13,54017,3301092,422149,35164,189611,15445,208.16686,9665.263266,93771,103583,167785,226673,1127,393592,536293,65145,9404.77816,1811359,97,70.12,83.28,100,NA
2025-2026,Sep,34,JHARKHAND,3417,CHATRA,4039318,282.4023878,27,103,0.01143,6617,1,55517,2963106,712159,55129,181455,11759,75.04138,8442.934908,106367,118895,174177,211615,308,301534,358426,62134,8367.882098,1548430,98,79.27,82.76,100,NA
2025-2026,Sep,34,JHARKHAND,3421,DHANBAD,2062782,280.8625709,31,138,0.76,17267,1,42094,1837360,153721,16027,256396,23141,120.96013,5282.176662,58939,67038,113795,156918,412,328731,424774,59361,5160.456532,971782,97,70.24,73.23,100,NA
2025-2026,Sep,34,JHARKHAND,3424,KHUNTI,1208518,283.8509886,39,135,28.8754956,2442,0,27448,1036145,44491,4316,694843,63213,79.42904,3049.412362,26011,31117,57002,91833,1257,154789,245915,29890,2941.107826,510504,98,78.61,79.21,100,NA
2025-2026,Sep,34,JHARKHAND,3402,LOHARDAGA,1016409,278.819924,39,107,14.03295,3260,0,23140,916965,47654,5126,519944,69444,70.10697,2640.821036,23300,31248,53768,114102,345,104248,204515,26400,2556.681116,476622,98,49.18,47.87,100,NA
2025-2026,Sep,34,JHARKHAND,3411,DUMKA,4082211,280.0144708,37,146,55.8226749,6031,0,43490,3265943,174011,11519,795911,66302,197.47478,9398.410464,87436,94070,152834,212409,758,350055,492649,49521,9145.11301,1606887,96,77.41,80.77,100,NA
2025-2026,Sep,34,JHARKHAND,3416,HAZARIBAGH,3759368,285.2037171,35,302,52.3182452,11200,13,54089,3310223,423534,35158,190406,15443,208.16686,9701.364145,93960,103791,167757,226623,1146,393515,536198,65289,9440.87904,1816400,97,70.05,83.24,100,NA
2025-2026,Sep,34,JHARKHAND,3421,DHANBAD,2062782,280.5515724,31,138,1.7213628,17281,1,42112,1841001,154373,16033,256690,23169,120.96013,5287.638747,58984,67086,113848,157003,412,328738,424786,59393,5164.957254,973911,97,70.15,73.13,100,NA
2025-2026,Sep,34,JHARKHAND,3423,RAMGARH,1549260,278.0647671,43,185,50.7982609,4639,22,23951,1530657,104493,8207,416299,28275,81.42504,4388.441123,35167,43095,64061,105303,876,151662,236948,28590,4256.217823,809647,97,62.93,67.16,100,NA
2025-2026,Aug,34,JHARKHAND,3405,PALAMU,3653239,280.3563725,30,530,40.7426514,9854,0,85817,3447878,755334,75351,254623,25702,309.69223,10016.78057,112295,134044,209131,290170,336,456335,613539,95671,9666.345691,1641415,96,68.56,78.73,100.05,NA
2025-2026,Aug,34,JHARKHAND,3424,KHUNTI,1045473,283.0226508,38,134,3.4272,2196,0,27527,982266,41687,4292,658825,62995,79.42904,2862.891512,25418,30392,56775,91515,989,154655,245755,29723,2780.035272,482925,98,78.61,79.23,100,NA
2025-2026,Aug,34,JHARKHAND,3404,SIMDEGA,2007151,287.5536246,36,175,18.0792517,6503,0,37118,1790824,173893,14774,1127651,103054,87.4798,5255.138374,49474,56597,97642,157111,550,182116,285544,43621,5149.579322,848791,97,68.69,71.11,100.01,NA
2025-2026,Aug,34,JHARKHAND,3408,WEST SINGHBHUM,2175652,277.7736639,32,144,16.9236,7489,3,59159,2261411,50449,5466,1540537,153025,189.27671,6487.8045,68852,74661,150107,218098,400,379219,543552,66648,6281.60419,1085905,95,66.68,73.69,100.01,NA
2025-2026,Aug,34,JHARKHAND,3417,CHATRA,3494357,282.4263532,26,101,0.01143,6197,1,54639,2812841,677536,54986,172230,11713,75.04138,8019.257067,104772,117052,173705,211034,195,301151,357963,60836,7944.204257,1465703,98,80.58,84.18,100.01,NA
2025-2026,Sep,34,JHARKHAND,3402,LOHARDAGA,1016409,278.3171858,39,107,14.03295,3219,0,23164,915531,47600,5124,518956,69437,70.10697,2632.220034,23307,31265,53773,114109,339,104240,204502,26383,2548.080114,475949,98,49.17,47.85,100,NA
2025-2026,Sep,34,JHARKHAND,3404,SIMDEGA,2320175,287.0274723,38,190,27.8466117,6849,0,37942,1942668,188519,14841,1226092,103463,87.4798,5691.317268,50628,58025,98074,157705,761,182497,285989,44791,5575.990856,925521,97,68.52,71.37,100.01,NA
2025-2026,Sep,34,JHARKHAND,3407,GARHWA,7434501,280.041803,33,253,68.2094786,18016,0,62869,5235511,561510,50929,546388,38005,237.52582,14967.3547,157945,191756,252615,359381,711,438630,609238,80885,14661.6194,2481622,95,80,83.27,100.01,NA
2025-2026,Sep,34,JHARKHAND,3417,CHATRA,4039318,282.2276218,27,103,0.01143,6588,1,55429,2945860,708427,55112,180500,11751,75.04138,8389.083429,106202,118700,174117,211543,299,301489,358366,62017,8314.030619,1538691,98,79.44,82.95,100,NA
2025-2026,Sep,34,JHARKHAND,3404,SIMDEGA,2320175,286.3534658,40,195,65.6972612,7778,0,38071,2092433,202492,14912,1322582,103976,87.4798,6144.931476,51855,59512,98524,158366,1047,182818,286361,45849,5991.754415,999520,97,68.01,71.61,100.01,NA
2025-2026,Sep,34,JHARKHAND,3405,PALAMU,4222979,279.8269462,32,567,138.1474444,10950,0,87914,3788340,828787,76086,283442,26082,309.69223,11048.63581,117209,140265,211612,293856,641,458140,616082,98864,10600.79613,1821894,96,66.47,76.13,100.05,NA
2025-2026,Sep,34,JHARKHAND,3408,WEST SINGHBHUM,2514955,277.3382159,35,147,559.8010568,9501,3,60227,2562870,57711,5550,1741272,154498,177.35511,7844.974101,72356,78609,151777,220316,1034,380324,544762,69728,7107.817934,1230481,95,66.55,73.28,100.01,NA
2025-2026,Sep,34,JHARKHAND,3414,PAKUR,2107116,280.9749506,35,48,427.0088905,6125,0,39457,1888926,42957,3284,613101,44284,98.85147,5833.269256,53253,56464,98036,124470,613,249484,312950,45582,5307.408895,986451,98,69.22,64.84,100,NA
2025-2026,Sep,34,JHARKHAND,3416,HAZARIBAGH,3759368,284.2613978,36,316,76.5086952,12564,13,57576,3565997,458486,35440,204927,15455,208.16686,10421.42847,97544,107900,168973,228344,1617,393657,536185,70140,10136.75292,1965831,97,68.44,83,100,NA
2025-2026,Sep,34,JHARKHAND,3417,CHATRA,4039318,282.1482833,28,104,0.01143,7293,1,55688,3101910,744785,55264,187980,11756,64.98138,8816.978624,107942,120773,174636,212230,410,301708,358677,62981,8751.985814,1626586,98,78.35,81.67,100.01,NA
2025-2026,Sep,34,JHARKHAND,3412,JAMTARA,3716827,279.0376879,37,142,11.89292,10235,0,54068,3639583,282579,15132,633479,43023,97.32884,10265.03001,98029,108302,141382,187261,733,254643,325543,64303,10155.80825,1914390,97,79.05,76.69,100.01,NA
2025-2026,Sep,34,JHARKHAND,3422,DEOGHAR,4518398,280.7754861,37,377,69.5245752,10787,0,50809,4304666,271422,24575,349314,28365,128.9168,12284.88826,113546,125880,194518,275966,2051,446310,641811,61596,12086.44689,2057053,96,51.59,75.6,100,NA
2025-2026,Sep,34,JHARKHAND,3404,SIMDEGA,2320175,287.0930013,41,198,78.803148,7864,0,38309,2154608,208044,14931,1363348,104152,87.4798,6352.011722,52277,60048,98673,158602,1236,182933,286515,46173,6185.728774,1030484,97,67.7,71.74,100.01,NA
2025-2026,Sep,34,JHARKHAND,3406,LATEHAR,3694783,277.9663672,39,661,48.2152801,14915,0,53913,4020529,562191,24678,1176818,58217,74.20898,11298.14266,101836,111522,141522,173396,1303,222210,269560,68828,11175.7184,1960402,98,37.99,85.49,100.01,NA
2025-2026,Sep,34,JHARKHAND,3407,GARHWA,7434501,280.0765105,33,254,68.2964786,19156,0,62604,5394189,585164,51040,567233,38118,237.52582,15413.67862,159775,194241,253095,360142,930,438871,609580,81760,15107.85632,2560445,95,78.52,81.74,100.02,NA
2025-2026,Sep,34,JHARKHAND,3413,SAHEBGANJ,1961556,286.0301295,31,426,404.6248581,5831,4,42527,1951658,67586,6745,525073,46457,100.78018,6087.734942,61884,67016,124828,156006,317,370790,451870,48358,5582.329904,1013222,95,58.13,56.3,100,NA
2025-2026,Sep,34,JHARKHAND,3417,CHATRA,4039318,282.234048,29,106,27.96655858,7543,1,55915,3160572,757971,55284,190943,11772,64.98138,9013.158235,108639,121582,174670,212311,455,301865,358883,63458,8920.210296,1661181,98,78.05,81.33,100.01,NA
2025-2026,Sep,34,JHARKHAND,3420,BOKARO,2618982,285.4774699,35,223,1104.056754,6021,13,51568,2276801,271552,28029,343969,35277,172.29017,7776.100814,64602,72256,139584,208265,647,399857,571358,57589,6499.75389,1285817,98,67.51,66.15,100,NA
2025-2026,Sep,34,JHARKHAND,3414,PAKUR,2107116,281.2247357,35,48,399.9443293,6013,0,39447,1874428,42539,3278,607665,44219,120.56018,5791.859698,53058,56258,97956,124369,599,249386,312839,45460,5271.355189,977631,98,69.35,64.98,100,NA
2025-2026,Sep,34,JHARKHAND,3419,GIRIDIH,7707711,279.9569604,36,822,251.9471834,16080,9,91402,6146170,415823,33560,488185,35564,157.61192,17616.18982,170170,182111,299503,386301,1246,701305,916584,107482,17206.63071,3376815,97,73.2,77.15,100.01,NA
2025-2026,Sep,34,JHARKHAND,3424,KHUNTI,1208518,283.6385929,41,139,201.4889495,3084,0,27015,1102038,47549,4331,738943,63482,79.42904,3406.723066,26623,31854,57255,92219,1589,154952,246119,30099,3125.805077,544638,98,78.77,79.34,100,NA
2025-2026,Sep,34,JHARKHAND,3403,GUMLA,2439304,267.6957229,36,195,51.1982458,4093,1,50428,2071471,78074,6790,1173068,120843,130.89446,5727.331974,56298,66691,112442,191418,882,231169,382378,54521,5545.239268,920641,96,79.29,82.14,100,NA
2025-2026,Sep,34,JHARKHAND,3405,PALAMU,4222979,279.8655934,32,565,50.2530823,10800,0,87619,3744999,818547,75987,279598,26034,309.69223,10840.90899,116559,139425,211302,293386,620,457828,615664,98419,10480.96368,1799202,96,66.7,76.46,100.05,NA
2025-2026,Sep,34,JHARKHAND,3417,CHATRA,4039318,282.0911009,28,103,0.01143,7166,1,55582,3070936,736412,55222,186698,11746,75.04138,8737.889979,107670,120452,174480,212037,389,301624,358572,62748,8662.837169,1609009,98,78.55,81.87,100.01,NA
2025-2026,Sep,34,JHARKHAND,3418,KODERMA,1361090,285.0923604,36,103,249.5439593,2440,0,21282,1366306,117116,9433,19848,1118,47.159,4191.936985,36993,40473,66333,84029,536,163177,205299,23722,3895.234026,740496,94,81.8,69.79,100,NA
2025-2026,Sep,34,JHARKHAND,3423,RAMGARH,1549260,281.3612011,44,192,121.9224078,4852,22,24189,1621283,109623,8259,440389,28498,81.42504,4765.00877,36317,44500,64632,106060,1057,152074,237427,29041,4561.661323,859552,97,62.43,67.08,100,NA
2025-2026,Sep,34,JHARKHAND,3424,KHUNTI,1208518,283.4327503,41,139,194.5496155,2997,0,27100,1097200,47328,4332,735793,63455,79.42904,3383.802792,26582,31809,57243,92199,1573,154939,246108,30097,3109.824137,542210,98,78.77,79.35,100,NA
2025-2026,Sep,34,JHARKHAND,3411,DUMKA,4082211,280.3412086,38,146,145.8285637,6807,0,43631,3431387,183859,11616,835179,66630,197.47478,9962.895132,89407,96249,153704,213531,1003,350684,493328,50438,9619.591788,1689043,96,76.24,80.3,100,NA
2025-2026,Sep,34,JHARKHAND,3412,JAMTARA,3716827,279.2679858,36,142,11.89292,9979,0,54091,3518305,271882,15110,613364,42968,97.32884,9934.721269,97346,107485,141094,186897,667,254524,325378,64070,9825.499509,1850053,97,79.24,76.93,100.01,NA
2025-2026,Sep,34,JHARKHAND,3413,SAHEBGANJ,1961556,285.965127,30,416,256.3514371,5371,4,42540,1887216,65122,6696,504363,46124,137.04742,5790.178489,60968,66010,124212,155235,275,370599,451662,47911,5396.779632,979121,94,59.04,57.34,100,NA
2025-2026,Sep,34,JHARKHAND,3401,RANCHI,2366339,283.2987308,35,161,803.0152079,5424,5,57160,2416981,127905,12558,872459,102624,302.22545,7952.517154,67629,79344,151054,244359,849,371805,557675,62584,6847.276496,1228220,97,69.29,68.64,100,NA
2025-2026,Sep,34,JHARKHAND,3406,LATEHAR,3694783,278.0743705,36,648,0,13193,0,54464,3608161,501646,24513,1058863,57801,80.79098,10114.16197,99071,108377,140377,172109,559,220880,268187,67657,10033.37099,1755264,98,37.54,85.59,100.01,NA
2025-2026,Sep,34,JHARKHAND,3407,GARHWA,7434501,280.0844229,33,253,68.2094786,18047,0,62959,5260231,565804,50939,549842,38021,237.52582,15038.82294,158255,192173,252671,359473,765,438685,609301,81006,14733.08764,2493907,95,79.76,83.01,100.02,NA
2025-2026,Sep,34,JHARKHAND,3408,WEST SINGHBHUM,2514955,278.4323864,34,145,113.8725933,8799,3,59896,2428284,54511,5506,1651533,153739,189.27671,7064.278393,70654,76668,150948,219203,726,379823,544205,68695,6761.12909,1166598,95,66.49,73.3,100.01,NA
2025-2026,Sep,34,JHARKHAND,3412,JAMTARA,3716827,279.3382927,35,139,5.92672,9335,0,54441,3379480,260774,15078,589452,42923,97.32884,9543.437294,96360,106340,140779,186543,539,254328,325188,63776,9440.181734,1775995,97,79.44,77.16,100.01,NA
2025-2026,Sep,34,JHARKHAND,3404,SIMDEGA,2320175,288.0313145,37,189,20.0514917,6801,0,37673,1894457,183461,14817,1195120,103321,87.4798,5564.160691,50269,57562,97927,157495,685,182432,285903,44474,5456.629399,900132,97,68.49,71.32,100.01,NA
2025-2026,Sep,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1960328,280.3361859,31,184,37.05888,2621,1,52442,1672115,74334,10539,531593,85480,121.89953,4846.501825,53755,66047,111361,210612,287,240982,425334,55063,4687.543415,870164,96,51.66,57.28,100,NA
2025-2026,Sep,34,JHARKHAND,3416,HAZARIBAGH,3759368,285.2818377,34,281,35.9446352,10752,13,52281,3234746,412811,35002,185741,15396,208.16686,9472.254328,92933,102617,167295,225988,978,393296,535934,63033,9228.142833,1772525,97,70.34,83.4,100,NA
2025-2026,Sep,34,JHARKHAND,3417,CHATRA,4039318,281.9582151,27,103,0.01143,6512,1,55328,2918484,701880,55093,179414,11746,75.04138,8303.958205,105937,118384,174059,211466,271,301382,358243,61840,8228.905395,1524318,98,79.64,83.17,100,NA
2025-2026,Sep,34,JHARKHAND,3419,GIRIDIH,7707711,278.8539362,34,800,5.0010107,13927,9,91782,5652260,379376,33316,446482,35341,157.61192,15924.16242,164391,175600,297345,383471,804,699651,914676,105709,15761.54949,3099052,97,73.69,78.22,100.01,NA
2025-2026,Sep,34,JHARKHAND,3423,RAMGARH,1549260,277.0720063,42,187,49.1570209,4535,22,23794,1481984,100608,8160,403126,28123,81.42504,4236.744863,34615,42412,63635,104693,774,151419,236673,28329,4106.162803,782277,97,63.48,67.49,100,NA
2025-2026,Sep,34,JHARKHAND,3424,KHUNTI,1208518,282.5587061,39,136,5.79105,2381,0,27460,1015903,43352,4303,681845,63130,79.42904,2955.742462,25784,30841,56928,91725,1167,154744,245858,29841,2870.522372,500132,98,78.59,79.2,100,NA
2025-2026,Sep,34,JHARKHAND,3403,GUMLA,2439304,267.7341756,36,195,51.1982458,4044,1,50422,2059751,77650,6781,1166984,120773,130.89446,5696.750066,56168,66531,112336,191297,860,231090,382322,54466,5514.65736,915293,96,79.32,82.13,100,NA
2025-2026,Sep,34,JHARKHAND,3402,LOHARDAGA,1016409,278.2374559,40,111,18.241035,3421,0,23168,945500,48840,5138,535424,69618,70.10697,2719.083151,23626,31700,53934,114416,365,104315,204638,26589,2630.735146,491634,98,49.14,47.89,100,NA
2025-2026,Sep,34,JHARKHAND,3406,LATEHAR,3694783,276.7748104,37,655,0,13563,0,54331,3723235,519861,24561,1092427,58114,80.79098,10385.76759,100009,109431,140913,172732,640,221058,268369,67894,10304.97661,1812253,98,37.71,85.63,100.01,NA
2025-2026,Sep,34,JHARKHAND,3411,DUMKA,4082211,280.8843008,38,147,71.99882616,6543,0,43602,3377216,179835,11591,821801,66526,197.47478,9755.543154,88763,95536,153486,213245,844,350391,493016,50145,9486.069548,1662046,96,76.58,80.45,100,NA
2025-2026,Sep,34,JHARKHAND,3416,HAZARIBAGH,3759368,284.4520675,35,305,62.4340852,11549,13,55146,3398412,436606,35245,195007,15444,208.16686,9937.454142,95084,105066,168179,227221,1293,393412,535987,66695,9666.853197,1867902,97,69.46,83.1,100,NA
2025-2026,Sep,34,JHARKHAND,3422,DEOGHAR,4518398,281.8259707,37,369,39.1138204,10178,0,50621,4139179,260200,24392,338818,28237,132.4544,11836.84962,111486,123379,193427,274324,1753,445750,641034,60799,11665.2814,1975243,96,51.61,76.21,100,NA
2025-2026,Sep,34,JHARKHAND,3403,GUMLA,2439304,266.9713422,36,193,38.4182458,3935,1,50205,2031526,76972,6775,1149713,120603,130.89446,5592.904934,55737,65987,112213,191063,809,230981,382142,54140,5423.592229,902252,96,79.46,82.26,100,NA
2025-2026,Sep,34,JHARKHAND,3405,PALAMU,4222979,280.1864433,31,552,41.2802514,10520,0,87273,3649714,798282,75808,271037,25906,309.69223,10576.97633,115147,137622,210626,292346,491,457321,614923,97793,10226.00385,1747746,96,67.22,77.11,100.05,NA
2025-2026,Sep,34,JHARKHAND,3408,WEST SINGHBHUM,2514955,277.7543245,34,146,186.207907,8892,3,60071,2462102,55325,5522,1673734,153974,189.27671,7214.079396,71085,77143,151228,219566,845,379965,544360,68963,6838.594779,1183503,95,66.55,73.32,100.01,NA
2025-2026,Sep,34,JHARKHAND,3413,SAHEBGANJ,1961556,285.9058432,30,397,64.9227333,5008,4,42300,1848446,63517,6684,488575,45977,137.04742,5486.785275,60334,65309,123940,154902,263,370498,451533,47308,5284.815122,959112,94,59.46,57.82,100,NA
2025-2026,Sep,34,JHARKHAND,3415,GODDA,2805588,279.1195748,33,160,150.9583956,5207,5,55305,2283867,102016,9750,470869,40034,164.50807,6690.186325,67386,73563,130289,189899,133,328485,468819,60512,6374.71986,1242304,95,67.92,63.84,100.04,NA
